gender,age_group,push_ups_1min,hand_release_pushups_2min,sit_ups_1min,cross_leg_reverse_crunch_2min,forearm_plank,run_2mile,hamr_shuttles
Male,<25,30,27,33,35,1:35,19:45,42
Male,25-29,28,25,31,33,1:30,19:55,42
Male,30-34,26,23,29,31,1:25,20:44,38
Male,35-39,23,21,27,29,1:20,21:16,36
Male,40-44,21,19,25,27,1:15,22:04,32
Male,45-49,19,17,23,25,1:10,22:27,31
Male,50-54,17,15,21,23,1:05,22:50,30
Male,55-59,14,13,19,21,1:00,23:36,27
Male,60+,12,11,17,19,0:55,24:00,26
Female,<25,15,17,29,33,1:30,25:23,21
Female,25-29,14,15,25,31,1:25,25:40,20
Female,30-34,12,13,20,29,1:20,26:15,19
Female,35-39,11,11,18,27,1:15,26:30,18
Female,40-44,10,9,16,25,1:10,26:52,17
Female,45-49,8,7,10,23,1:05,27:15,16
Female,50-54,7,5,9,21,1:00,28:05,14
Female,55-59,5,3,7,19,0:55,28:40,13
Female,60+,3,1,6,17,0:50,29:40,11
