gender,points,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,15.0,60,58,56,54,52,50,48,46,44
Male,14.5,59,57,55,53,51,49,47,45,43
Male,14.0,58,56,54,52,50,48,46,44,42
Male,13.5,57,55,53,51,49,47,45,43,41
Male,13.0,56,54,52,50,48,46,44,42,40
Male,12.5,55,53,51,49,47,45,43,41,39
Male,12.0,54,52,50,48,46,44,42,40,38
Male,11.5,53,51,49,47,45,43,41,39,37
Male,11.0,52,50,48,46,44,42,40,38,36
Male,10.5,51,49,47,45,43,41,39,37,35
Male,10.0,50,48,46,44,42,40,38,36,34
Male,9.5,49,47,45,43,41,39,37,35,33
Male,9.0,48,46,44,42,40,38,36,34,32
Male,8.5,47,45,43,41,39,37,35,33,31
Male,8.0,46,44,42,40,38,36,34,32,30
Male,7.5,45,43,41,39,37,35,33,31,29
Male,7.0,44,42,40,38,36,34,32,30,28
Male,6.5,43,41,39,37,35,33,31,29,27
Male,6.0,42,40,38,36,34,32,30,28,26
Male,5.5,41,39,37,35,33,31,29,27,25
Male,5.0,40,38,36,34,32,30,28,26,24
Male,4.5,39,37,35,33,31,29,27,25,23
Male,4.0,38,36,34,32,30,28,26,24,22
Male,3.5,37,35,33,31,29,27,25,23,21
Male,3.0,36,34,32,30,28,26,24,22,20
Male,2.5,35,33,31,29,27,25,23,21,19
Female,15.0,58,56,54,52,50,48,46,44,42
Female,14.5,57,55,53,51,49,47,45,43,41
Female,14.0,56,54,52,50,48,46,44,42,40
Female,13.5,55,53,51,49,47,45,43,41,39
Female,13.0,54,52,50,48,46,44,42,40,38
Female,12.5,53,51,49,47,45,43,41,39,37
Female,12.0,52,50,48,46,44,42,40,38,36
Female,11.5,51,49,47,45,43,41,39,37,35
Female,11.0,50,48,46,44,42,40,38,36,34
Female,10.5,49,47,45,43,41,39,37,35,33
Female,10.0,48,46,44,42,40,38,36,34,32
Female,9.5,47,45,43,41,39,37,35,33,31
Female,9.0,46,44,42,40,38,36,34,32,30
Female,8.5,45,43,41,39,37,35,33,31,29
Female,8.0,44,42,40,38,36,34,32,30,28
Female,7.5,43,41,39,37,35,33,31,29,27
Female,7.0,42,40,38,36,34,32,30,28,26
Female,6.5,41,39,37,34,33,31,29,27,25
Female,6.0,40,38,36,32,32,30,28,26,24
Female,5.5,39,37,35,31,31,29,27,25,23
Female,5.0,38,36,34,30,30,28,26,24,22
Female,4.5,37,35,33,29,29,27,25,23,21
Female,4.0,36,34,32,28,28,26,24,22,20
Female,3.5,35,33,31,27,27,25,23,21,19
Female,3.0,34,32,30,26,26,24,22,20,18
Female,2.5,33,31,29,25,25,23,21,19,17
