gender,points,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,15.0,3:40,3:35,3:30,3:25,3:20,3:15,3:10,3:05,3:00
Male,14.5,3:35,3:30,3:25,3:20,3:15,3:10,3:05,3:00,2:55
Male,14.0,3:30,3:25,3:20,3:15,3:10,3:05,3:00,2:55,2:50
Male,13.5,3:25,3:20,3:15,3:10,3:05,3:00,2:55,2:50,2:45
Male,13.0,3:20,3:15,3:10,3:05,3:00,2:55,2:50,2:45,2:40
Male,12.5,3:15,3:10,3:05,3:00,2:55,2:50,2:45,2:40,2:35
Male,12.0,3:10,3:05,3:00,2:55,2:50,2:45,2:40,2:35,2:30
Male,11.5,3:05,3:00,2:55,2:50,2:45,2:40,2:35,2:30,2:25
Male,11.0,3:00,2:55,2:50,2:45,2:40,2:35,2:30,2:25,2:20
Male,10.5,2:55,2:50,2:45,2:40,2:35,2:30,2:25,2:20,2:15
Male,10.0,2:50,2:45,2:40,2:35,2:30,2:25,2:20,2:15,2:10
Male,9.5,2:45,2:40,2:35,2:30,2:25,2:20,2:15,2:10,2:05
Male,9.0,2:40,2:35,2:30,2:25,2:20,2:15,2:10,2:05,2:00
Male,8.5,2:35,2:30,2:25,2:20,2:15,2:10,2:05,2:00,1:55
Male,8.0,2:30,2:25,2:20,2:15,2:10,2:05,2:00,1:55,1:50
Male,7.5,2:25,2:20,2:15,2:10,2:05,2:00,1:55,1:50,1:45
Male,7.0,2:20,2:15,2:10,2:05,2:00,1:55,1:50,1:45,1:40
Male,6.5,2:15,2:10,2:05,2:00,1:55,1:50,1:45,1:40,1:35
Male,6.0,2:10,2:05,2:00,1:55,1:50,1:45,1:40,1:35,1:30
Male,5.5,2:05,2:00,1:55,1:50,1:45,1:40,1:35,1:30,1:25
Male,5.0,2:00,1:55,1:50,1:45,1:40,1:35,1:30,1:25,1:20
Male,4.5,1:55,1:50,1:45,1:40,1:35,1:30,1:25,1:20,1:15
Male,4.0,1:50,1:45,1:40,1:35,1:30,1:25,1:20,1:15,1:10
Male,3.5,1:45,1:40,1:35,1:30,1:25,1:20,1:15,1:10,1:05
Male,3.0,1:40,1:35,1:30,1:25,1:20,1:15,1:10,1:05,1:00
Male,2.5,1:35,1:30,1:25,1:20,1:15,1:10,1:05,1:00,0:55
Female,15.0,3:35,3:30,3:25,3:20,3:15,3:10,3:05,3:00,2:55
Female,14.5,3:30,3:25,3:20,3:15,3:10,3:05,3:00,2:55,2:50
Female,14.0,3:25,3:20,3:15,3:10,3:05,3:00,2:55,2:50,2:45
Female,13.5,3:20,3:15,3:10,3:05,3:00,2:55,2:50,2:45,2:40
Female,13.0,3:15,3:10,3:05,3:00,2:55,2:50,2:45,2:40,2:35
Female,12.5,3:10,3:05,3:00,2:55,2:50,2:45,2:40,2:35,2:30
Female,12.0,3:05,3:00,2:55,2:50,2:45,2:40,2:35,2:30,2:25
Female,11.5,3:00,2:55,2:50,2:45,2:40,2:35,2:30,2:25,2:20
Female,11.0,2:55,2:50,2:45,2:40,2:35,2:30,2:25,2:20,2:15
Female,10.5,2:50,2:45,2:40,2:35,2:30,2:25,2:20,2:15,2:10
Female,10.0,2:45,2:40,2:35,2:30,2:25,2:20,2:15,2:10,2:05
Female,9.5,2:40,2:35,2:30,2:25,2:20,2:15,2:10,2:05,2:00
Female,9.0,2:35,2:30,2:25,2:20,2:15,2:10,2:05,2:00,1:55
Female,8.5,2:30,2:25,2:20,2:15,2:10,2:05,2:00,1:55,1:50
Female,8.0,2:25,2:20,2:15,2:10,2:05,2:00,1:55,1:50,1:45
Female,7.5,2:20,2:15,2:10,2:05,2:00,1:55,1:50,1:45,1:40
Female,7.0,2:15,2:10,2:05,2:00,1:55,1:50,1:45,1:40,1:35
Female,6.5,2:10,2:05,2:00,1:55,1:50,1:45,1:40,1:35,1:30
Female,6.0,2:05,2:00,1:55,1:50,1:45,1:40,1:35,1:30,1:25
Female,5.5,2:00,1:55,1:50,1:45,1:40,1:35,1:30,1:25,1:20
Female,5.0,1:55,1:50,1:45,1:40,1:35,1:30,1:25,1:20,1:15
Female,4.5,1:50,1:45,1:40,1:35,1:30,1:25,1:20,1:15,1:10
Female,4.0,1:45,1:40,1:35,1:30,1:25,1:20,1:15,1:10,1:05
Female,3.5,1:40,1:35,1:30,1:25,1:20,1:15,1:10,1:05,1:00
Female,3.0,1:35,1:30,1:25,1:20,1:15,1:10,1:05,1:00,0:55
Female,2.5,1:30,1:25,1:20,1:15,1:10,1:05,1:00,0:55,0:50
