gender,points,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,50.0,>= 100,>= 97,>= 94,>= 92,>= 88,>= 86,>= 80,>= 77,>= 71
Male,49.4,94-99,92-96,88-93,87-91,83-87,80-85,74-79,71-76,65-70
Male,48.8,92-93,88-91,86-87,80-82,77-79,74-76,68-70,60-67,59-61
Male,48.1,88-91,86-87,83-85,77-79,74-76,71-73,65-67,56-58,54-55
Male,47.5,86-87,83-85,80-82,74-76,71-73,68-70,62-64,51-53,48-50
Male,46.9,83-85,80-82,77-79,71-73,68-70,65-67,59-61,48-50,45-47
Male,46.3,80-82,77-79,74-76,68-70,65-67,62-64,56-58,45-47,42-44
Male,45.6,77-79,74-76,71-73,65-67,62-64,59-61,54-55,40-42,39-41
Male,45.0,74-76,71-73,68-70,59-61,59-61,56-58,51-53,37-39,36-38
Male,43.9,71-73,68-70,65-67,56-58,56-58,54-55,48-50,34-35,33-35
Male,42.9,68-70,65-67,62-64,54-55,54-55,51-53,45-47,31-33,30-31
Male,41.8,65-67,62-64,59-61,51-53,51-53,48-50,42-44,28-29,28-29
Male,40.7,62-64,59-61,56-58,48-50,48-50,45-47,39-41,26-27,27-28
Male,39.6,59-61,56-58,54-55,45-47,45-47,42-44,36-38,22-23,24-26
Male,38.6,56-58,54-55,51-53,42-44,42-44,39-41,33-35,20-21,22-23
Male,37.5,54-55,51-53,48-50,39-41,39-41,36-38,31-33,18-19,20-21
Male,35.5,51-53,48-50,45-47,36-38,36-38,33-35,27-29,16-17,18-19
Male,34.0,48-50,45-47,42-44,34-35,34-35,31-32,24-26,14-15,16-17
Male,32.5,45-47,42-44,39-41,33-35,33-35,27-29,22-23,12-13,13*-15
Male,31.0,42-44,39-41,36-38,N/A,30-32,24-26,21-22,10-11,N/A
Male,29.5,39-41*,36-38*,33-35*,30-32*,27-29*,24-26*,19-21*,16-18*,N/A
Female,50.0,>= 83,>= 80,>= 77,>= 74,>= 71,>= 68,>= 56,>= 54,>= 48
Female,49.4,77-82,74-79,71-76,68-73,65-70,62-67,53-55,51-53,45-47
Female,48.8,74-76,71-73,68-70,65-67,62-64,59-61,51-52,48-50,43-44
Female,48.1,71-73,68-70,65-67,62-64,59-61,56-58,48-50,46-47,40-42
Female,47.5,68-70,65-67,62-64,59-61,56-58,54-55,45-47,43-45,38-39
Female,46.9,65-67,62-64,59-61,56-58,54-55,51-53,43-44,40-42,36-37
Female,46.3,62-64,59-61,56-58,54-55,51-53,48-50,41-42,37-39,34-35
Female,45.6,59-61,56-58,54-55,51-53,48-50,45-47,39-40,34-36,32-33
Female,45.0,56-58,54-55,51-53,48-50,45-47,42-44,37-38,31-33,30-31
Female,43.9,54-55,51-53,48-50,45-47,42-44,39-41,34-36,28-30,27-29
Female,42.9,51-53,48-50,45-47,42-44,39-41,36-38,32-33,26-27,23-25
Female,41.8,48-50,45-47,42-44,39-41,36-38,33-35,30-31,23-25,20-21
Female,40.7,45-47,42-44,39-41,36-38,33-35,30-32,28-29,21-22,18-19
Female,38.6,42-44,39-41,36-38,33-35,30-32,27-29,25-27,18-20,15-17
Female,37.5,39-41,36-38,33-35,30-32,27-29,24-26,23-24,16-17,13-14
Female,35.5,36-38,34-35,31-32,27-29,24-26,21-23,20-22,14-15,11-12
Female,34.0,33-35,31-33,29-30,24-26,21-23,19-20,18-19,12-13,9-10
Female,32.5,30-32,28-29,26-28,21-23,19-20,16-18,14-15,10-11,6-7
Female,31.0,27-29,25-27,22-25,18-20,16-18,13-15,11-13,8-9,4-5
Female,29.5,24-25*,22-23*,19-20*,16-17*,13-14*,10-11*,7*,5*,2-3*
