gender,points,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,15.0,52,50,48,46,44,42,40,38,36
Male,14.5,51,49,47,45,43,41,39,37,35
Male,14.0,50,48,46,44,42,40,38,36,34
Male,13.5,49,47,45,43,41,39,37,35,33
Male,13.0,48,46,44,42,40,38,36,34,32
Male,12.5,47,45,43,41,39,37,35,33,31
Male,12.0,46,44,42,40,38,36,34,32,30
Male,11.5,45,43,41,39,37,35,33,31,29
Male,11.0,44,42,40,38,36,34,32,30,28
Male,10.5,43,41,39,37,35,33,31,29,27
Male,10.0,42,40,38,36,34,32,30,28,26
Male,9.5,41,39,37,35,33,31,29,27,25
Male,9.0,40,38,36,34,32,30,28,26,24
Male,8.5,39,37,35,33,31,29,27,25,23
Male,8.0,38,36,34,32,30,28,26,24,22
Male,7.5,37,35,33,31,29,27,25,23,21
Male,7.0,36,34,32,30,28,26,24,22,20
Male,6.5,35,33,31,29,27,25,23,21,19
Male,6.0,34,32,30,28,26,24,22,20,18
Male,5.5,33,31,29,27,25,23,21,19,17
Male,5.0,32,30,28,26,24,22,20,18,16
Male,4.5,31,29,27,25,23,21,19,17,15
Male,4.0,30,28,26,24,22,20,18,16,14
Male,3.5,29,27,25,23,21,19,17,15,13
Male,3.0,28,26,24,22,20,18,16,14,12
Male,2.5,27,25,23,21,19,17,15,13,11
Female,15.0,42,40,38,36,34,32,30,28,26
Female,14.5,41,39,37,35,33,31,29,27,25
Female,14.0,40,38,36,34,32,30,28,26,24
Female,13.5,39,37,35,33,31,29,27,25,23
Female,13.0,38,36,34,32,30,28,26,24,22
Female,12.5,37,35,33,31,29,27,25,23,21
Female,12.0,36,34,32,30,28,26,24,22,20
Female,11.5,35,33,31,29,27,25,23,21,19
Female,11.0,34,32,30,28,26,24,22,20,18
Female,10.5,33,31,29,27,25,23,21,19,17
Female,10.0,32,30,28,26,24,22,20,18,16
Female,9.5,31,29,27,25,23,21,19,17,15
Female,9.0,30,28,26,24,22,20,18,16,14
Female,8.5,29,27,25,23,21,19,17,15,13
Female,8.0,28,26,24,22,20,18,16,14,12
Female,7.5,27,25,23,21,19,17,15,13,11
Female,7.0,26,24,22,20,18,16,14,12,10
Female,6.5,25,23,21,19,17,15,13,11,9
Female,6.0,24,22,20,18,16,14,12,10,8
Female,5.5,23,21,19,17,15,13,11,9,7
Female,5.0,22,20,18,16,14,12,10,8,6
Female,4.5,21,19,17,15,13,11,9,7,5
Female,4.0,20,18,16,14,12,10,8,6,4
Female,3.5,19,17,15,13,11,9,7,5,3
Female,3.0,18,16,14,12,10,8,6,4,2
Female,2.5,17,15,13,11,9,7,5,3,1
