gender,points,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,15.0,67,63,60,56,52,49,45,42,38
Male,14.5,66,62,59,55,51,47,44,41,37
Male,14.0,64,60,57,53,50,46,43,40,36
Male,13.5,63,59,56,52,49,45,42,39,35
Male,13.0,61,57,55,51,48,44,41,38,34
Male,12.5,60,56,53,49,46,43,39,36,33
Male,12.0,58,55,52,48,45,42,38,35,32
Male,11.5,57,53,51,47,44,40,37,34,31
Male,11.0,55,52,49,45,42,39,36,33,30
Male,10.5,54,50,48,44,41,38,35,32,29
Male,10.0,52,49,47,43,40,37,34,31,28
Male,9.5,51,48,45,41,39,36,33,30,27
Male,9.0,49,46,44,40,37,35,32,29,26
Male,8.5,48,45,43,39,36,33,30,27,24
Male,8.0,46,43,41,38,35,32,29,26,23
Male,7.5,45,42,40,36,33,31,28,25,22
Male,7.0,43,41,39,35,32,30,27,24,21
Male,6.5,42,39,37,34,31,29,26,23,20
Male,6.0,40,38,36,32,30,28,25,22,19
Male,5.5,39,36,35,31,28,26,24,21,18
Male,5.0,37,35,33,30,27,25,23,20,17
Male,4.5,36,34,32,28,26,24,21,18,16
Male,4.0,34,32,31,27,24,23,20,17,15
Male,3.5,33,31,29,26,23,22,19,16,14
Male,3.0,31,29,26,24,22,21,18,15,13
Male,2.5,30,28,26,23,21,19,17,14,12
Female,15.0,50,47,44,42,39,36,34,31,28
Female,14.5,49,46,42,41,38,35,33,30,27
Female,14.0,47,44,41,40,37,34,32,29,26
Female,13.5,46,43,40,38,36,33,31,28,25
Female,13.0,44,42,39,37,35,32,30,27,24
Female,12.5,43,40,37,36,33,30,29,26,23
Female,12.0,42,39,36,35,32,29,28,25,22
Female,11.5,40,38,35,33,31,28,26,24,21
Female,11.0,39,36,34,32,30,27,25,23,20
Female,10.5,37,35,32,31,29,26,24,22,19
Female,10.0,36,34,31,30,27,25,23,21,18
Female,9.5,35,32,30,28,26,24,22,20,17
Female,9.0,33,31,29,27,25,23,21,19,16
Female,8.5,32,30,27,26,24,21,20,17,15
Female,8.0,30,29,26,25,23,20,19,16,14
Female,7.5,29,27,25,23,21,19,18,15,13
Female,7.0,28,26,24,22,20,18,17,14,12
Female,6.5,26,25,22,21,19,17,16,13,11
Female,6.0,25,23,21,20,18,16,15,12,10
Female,5.5,23,22,20,18,17,15,13,11,9
Female,5.0,22,21,19,17,15,14,12,10,8
Female,4.5,21,19,17,16,14,12,11,9,7
Female,4.0,19,18,16,15,13,11,10,8,6
Female,3.5,18,17,15,13,12,10,9,7,5
Female,3.0,16,15,14,12,11,9,8,6,4
Female,2.5,15,14,12,11,10,8,7,5,3
