gender,points,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,50.0,<= 13:25,<= 13:25,<= 13:42,<= 13:42,<= 14:05,<= 14:30,<= 15:09,<= 15:28,<= 15:28
Male,49.4,13:55,13:55,14:23,14:32,14:45,15:08,15:54,16:22,16:22
Male,48.8,14:12,14:12,14:37,14:59,15:12,15:22,16:08,16:44,16:44
Male,48.1,14:27,14:27,14:49,15:10,15:24,15:35,16:21,16:58,16:58
Male,47.5,14:41,14:41,15:01,15:32,15:45,15:47,16:33,17:14,17:14
Male,46.9,15:05,15:05,15:23,15:42,15:55,16:09,16:55,17:45,17:45
Male,46.3,15:17,15:17,15:43,16:01,16:05,16:29,17:06,18:07,18:07
Male,45.6,15:28,15:28,15:50,16:29,16:15,16:39,17:16,18:17,18:17
Male,45.0,15:38,15:38,16:12,16:48,16:43,17:07,17:26,18:45,18:45
Male,43.9,16:09,16:14,16:49,17:06,17:01,17:25,17:54,19:00,19:00
Male,42.9,16:29,16:33,17:07,17:24,17:19,17:44,18:32,19:17,19:17
Male,41.8,16:49,16:52,17:26,17:41,17:37,18:02,18:51,19:36,19:36
Male,40.7,17:08,17:12,17:42,17:58,17:56,18:21,19:10,19:51,19:51
Male,39.6,17:18,17:30,17:58,18:14,18:15,18:41,19:30,20:07,20:07
Male,38.6,17:37,17:47,18:30,18:35,18:35,19:00,19:49,20:22,20:22
Male,37.5,17:55,18:04,19:06,19:04,18:55,19:30,20:20,20:54,20:54
Male,35.5,18:23,18:23,19:34,19:31,19:36,20:02,21:03,21:19,21:19
Male,34.0,18:39,18:39,20:06,20:12,20:10,20:50,21:40,21:32,21:32
Male,32.5,19:07,19:15,N/A,20:44*,21:09,21:37,22:28,21:59,22:03
Male,31.0,19:36,19:30,20:44*,N/A,22:04*,N/A,22:50*,22:33,22:44
Male,29.5,19:45*,19:45*,N/A,N/A,N/A,22:04*,N/A,23:22,23:36*
Male,28.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23:36*,25:00*
Female,50.0,<= 15:30,<= 15:30,<= 15:48,<= 15:51,<= 16:00,<= 16:30,<= 16:59,<= 17:18,<= 17:18
Female,49.4,16:00,16:00,16:36,16:42,16:52,17:20,18:05,17:56,17:56
Female,48.8,16:04,16:27,16:54,16:57,17:10,17:37,18:22,18:00,18:00
Female,48.1,17:03,17:03,17:09,17:14,17:25,17:52,18:37,18:25,18:25
Female,47.5,17:31,17:31,17:23,17:28,17:39,18:31,19:15,18:31,18:31
Female,46.9,17:44,18:18,17:48,17:53,18:04,18:52,19:26,18:46,18:46
Female,46.3,18:18,18:38,18:04,18:04,18:16,19:03,19:47,18:48,18:48
Female,45.6,18:38,18:58,18:10,18:15,18:26,19:32,20:16,18:56,18:56
Female,45.0,18:58,19:18,18:38,18:25,18:37,19:50,20:35,18:59,18:59
Female,43.9,19:16,19:36,18:50,18:54,19:07,20:08,20:53,19:29,19:29
Female,42.9,19:34,19:52,19:09,19:13,19:25,20:26,21:10,19:45,19:45
Female,41.8,19:52,20:12,19:27,19:31,19:44,20:58,21:27,20:02,20:02
Female,40.7,20:12,20:33,19:45,19:49,20:01,21:14,21:43,20:17,20:17
Female,38.6,20:57,21:05,20:01,20:05,20:18,21:45,21:59,20:31,20:31
Female,37.5,21:40,21:29,20:17,20:21,20:32,22:09,22:30,20:43,20:43
Female,35.5,22:07,21:49,20:33,20:37,20:50,22:35,22:54,21:32,21:32
Female,34.0,22:37,22:19,21:05,21:08,21:22,23:04,23:20,21:59,21:59
Female,32.5,N/A,N/A,21:29,21:32,21:46,23:30*,23:49,22:33,22:02
Female,31.0,N/A,N/A,21:55,21:58,22:12,N/A,24:00*,23:22,22:44
Female,29.5,22:45*,22:45*,22:24,22:27,22:42,N/A,N/A,24:48*,23:22
Female,28.0,N/A,N/A,22:50*,22:59*,23:15*,N/A,N/A,N/A,25:00*
