gender,points,<25,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+
Male,15.0,58,56,54,52,50,48,46,44,42
Male,14.5,57,55,53,51,49,47,45,43,41
Male,14.0,56,54,52,50,48,46,44,42,40
Male,13.5,55,53,51,49,47,45,43,41,39
Male,13.0,54,52,50,48,46,44,42,40,38
Male,12.5,53,51,49,47,45,43,41,39,37
Male,12.0,52,50,48,46,44,42,40,38,36
Male,11.5,51,49,47,45,43,41,39,37,35
Male,11.0,50,48,46,44,42,40,38,36,34
Male,10.5,49,47,45,43,41,39,37,35,33
Male,10.0,48,46,44,42,40,38,36,34,32
Male,9.5,47,45,43,41,39,37,35,33,31
Male,9.0,46,44,42,40,38,36,34,32,30
Male,8.5,45,43,41,39,37,35,33,31,29
Male,8.0,44,42,40,38,36,34,32,30,28
Male,7.5,43,41,39,37,35,33,31,29,27
Male,7.0,42,40,38,36,34,32,30,28,26
Male,6.5,41,39,37,35,33,31,29,27,25
Male,6.0,40,38,36,34,32,30,28,26,24
Male,5.5,39,37,35,33,31,29,27,25,23
Male,5.0,38,36,34,32,30,28,26,24,22
Male,4.5,37,35,33,31,29,27,25,23,21
Male,4.0,36,34,32,30,28,26,24,22,20
Male,3.5,35,33,31,29,27,25,23,21,19
Male,3.0,34,32,30,28,26,24,22,20,18
Male,2.5,33,31,29,27,25,23,21,19,17
Female,15.0,54,50,45,43,41,35,34,32,31
Female,14.5,53,49,44,42,40,34,33,31,30
Female,14.0,52,48,43,41,39,33,32,30,29
Female,13.5,51,47,42,40,38,32,31,29,28
Female,13.0,50,46,41,39,37,31,30,28,27
Female,12.5,49,45,40,38,36,30,29,27,26
Female,12.0,48,44,39,37,35,29,28,26,25
Female,11.5,47,43,38,36,34,28,27,25,24
Female,11.0,46,42,37,35,33,27,26,24,23
Female,10.5,45,41,36,34,32,26,25,23,22
Female,10.0,44,40,35,33,31,25,24,22,21
Female,9.5,43,39,34,32,30,24,23,21,20
Female,9.0,42,38,33,31,29,23,22,20,19
Female,8.5,41,37,32,30,28,22,21,19,18
Female,8.0,40,36,31,29,27,21,20,18,17
Female,7.5,39,35,30,28,26,20,19,17,16
Female,7.0,38,34,29,27,25,19,18,16,15
Female,6.5,37,33,28,26,24,18,17,15,14
Female,6.0,36,32,27,25,23,17,16,14,13
Female,5.5,35,31,26,24,22,16,15,13,12
Female,5.0,34,30,25,23,21,15,14,12,11
Female,4.5,33,29,24,22,20,14,13,11,10
Female,4.0,32,28,23,21,19,13,12,10,9
Female,3.5,31,27,22,20,18,12,11,9,8
Female,3.0,30,26,21,19,17,11,10,8,7
Female,2.5,29,25,20,18,16,10,9,7,6
